:Data_list: ./hp_from_aepower_from_ae_20021221_to_20021221.txt
:Created: Fri Apr 10 15:50:50 UTC 2026
# This file is created to replicate NOAA HPI files created before 2013.
# Please use with caution as Sat number, hemisphere, activity level, and normalizing factors are placeholders.
#
# Source: AE or SME index.
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2002-12-21 01:23:00 NOAA-17 (N)  6  61.58   0.75
2002-12-21 01:24:00 NOAA-17 (N)  6  60.67   0.75
2002-12-21 01:25:00 NOAA-17 (N)  6  59.44   0.75
2002-12-21 01:26:00 NOAA-17 (N)  6  55.87   0.75
2002-12-21 01:27:00 NOAA-17 (N)  6  53.12   0.75
2002-12-21 01:28:00 NOAA-17 (N)  6  49.24   0.75
2002-12-21 01:29:00 NOAA-17 (N)  6  53.32   0.75
2002-12-21 01:30:00 NOAA-17 (N)  6  61.48   0.75
2002-12-21 01:31:00 NOAA-17 (N)  6  67.19   0.75
2002-12-21 01:32:00 NOAA-17 (N)  6  70.15   0.75
2002-12-21 01:33:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 01:34:00 NOAA-17 (N)  6  67.50   0.75
2002-12-21 01:35:00 NOAA-17 (N)  6  62.60   0.75
2002-12-21 01:36:00 NOAA-17 (N)  6  65.66   0.75
2002-12-21 01:37:00 NOAA-17 (N)  6  66.69   0.75
2002-12-21 01:38:00 NOAA-17 (N)  6  55.47   0.75
2002-12-21 01:39:00 NOAA-17 (N)  6  59.65   0.75
2002-12-21 01:40:00 NOAA-17 (N)  6  67.30   0.75
2002-12-21 01:41:00 NOAA-17 (N)  6  70.05   0.75
2002-12-21 01:42:00 NOAA-17 (N)  6  69.95   0.75
2002-12-21 01:43:00 NOAA-17 (N)  6  62.71   0.75
2002-12-21 01:44:00 NOAA-17 (N)  6  64.54   0.75
2002-12-21 01:45:00 NOAA-17 (N)  6  64.64   0.75
2002-12-21 01:46:00 NOAA-17 (N)  6  64.95   0.75
2002-12-21 01:47:00 NOAA-17 (N)  6  66.48   0.75
2002-12-21 01:48:00 NOAA-17 (N)  6  73.11   0.75
2002-12-21 01:49:00 NOAA-17 (N)  6  77.29   0.75
2002-12-21 01:50:00 NOAA-17 (N)  6  78.72   0.75
2002-12-21 01:51:00 NOAA-17 (N)  6  63.01   0.75
2002-12-21 01:52:00 NOAA-17 (N)  6  58.22   0.75
2002-12-21 01:53:00 NOAA-17 (N)  6  54.44   0.75
2002-12-21 01:54:00 NOAA-17 (N)  6  54.44   0.75
2002-12-21 01:55:00 NOAA-17 (N)  6  56.48   0.75
2002-12-21 01:56:00 NOAA-17 (N)  6  56.89   0.75
2002-12-21 01:57:00 NOAA-17 (N)  6  56.79   0.75
2002-12-21 01:58:00 NOAA-17 (N)  6  51.08   0.75
2002-12-21 01:59:00 NOAA-17 (N)  6  52.10   0.75
2002-12-21 02:00:00 NOAA-17 (N)  6  54.65   0.75
2002-12-21 02:01:00 NOAA-17 (N)  6  54.95   0.75
2002-12-21 02:02:00 NOAA-17 (N)  6  54.44   0.75
2002-12-21 02:03:00 NOAA-17 (N)  6  53.42   0.75
2002-12-21 02:04:00 NOAA-17 (N)  6  54.24   0.75
2002-12-21 02:05:00 NOAA-17 (N)  6  55.26   0.75
2002-12-21 02:06:00 NOAA-17 (N)  6  56.59   0.75
2002-12-21 02:07:00 NOAA-17 (N)  6  53.94   0.75
2002-12-21 02:08:00 NOAA-17 (N)  6  60.26   0.75
2002-12-21 02:09:00 NOAA-17 (N)  6  65.46   0.75
2002-12-21 02:10:00 NOAA-17 (N)  6  66.69   0.75
2002-12-21 02:11:00 NOAA-17 (N)  6  66.99   0.75
2002-12-21 02:12:00 NOAA-17 (N)  6  66.99   0.75
2002-12-21 02:13:00 NOAA-17 (N)  6  64.34   0.75
2002-12-21 02:14:00 NOAA-17 (N)  6  61.28   0.75
2002-12-21 02:15:00 NOAA-17 (N)  6  59.85   0.75
2002-12-21 02:16:00 NOAA-17 (N)  6  58.32   0.75
2002-12-21 02:17:00 NOAA-17 (N)  6  61.18   0.75
2002-12-21 02:18:00 NOAA-17 (N)  6  62.20   0.75
2002-12-21 02:19:00 NOAA-17 (N)  6  66.48   0.75
2002-12-21 02:20:00 NOAA-17 (N)  6  68.93   0.75
2002-12-21 02:21:00 NOAA-17 (N)  6  71.89   0.75
2002-12-21 02:22:00 NOAA-17 (N)  6  69.74   0.75
2002-12-21 02:23:00 NOAA-17 (N)  6  67.50   0.75
2002-12-21 02:24:00 NOAA-17 (N)  6  66.79   0.75
2002-12-21 02:25:00 NOAA-17 (N)  6  63.83   0.75
2002-12-21 02:26:00 NOAA-17 (N)  6  62.81   0.75
2002-12-21 02:27:00 NOAA-17 (N)  6  61.99   0.75
2002-12-21 02:28:00 NOAA-17 (N)  6  61.38   0.75
2002-12-21 02:29:00 NOAA-17 (N)  6  59.55   0.75
2002-12-21 02:30:00 NOAA-17 (N)  6  58.32   0.75
2002-12-21 02:31:00 NOAA-17 (N)  6  56.59   0.75
2002-12-21 02:32:00 NOAA-17 (N)  6  55.87   0.75
2002-12-21 02:33:00 NOAA-17 (N)  6  55.87   0.75
2002-12-21 02:34:00 NOAA-17 (N)  6  54.75   0.75
2002-12-21 02:35:00 NOAA-17 (N)  6  52.91   0.75
2002-12-21 02:36:00 NOAA-17 (N)  6  51.79   0.75
2002-12-21 02:37:00 NOAA-17 (N)  6  50.16   0.75
2002-12-21 02:38:00 NOAA-17 (N)  6  52.10   0.75
2002-12-21 02:39:00 NOAA-17 (N)  6  56.08   0.75
2002-12-21 02:40:00 NOAA-17 (N)  6  59.85   0.75
2002-12-21 02:41:00 NOAA-17 (N)  6  62.60   0.75
2002-12-21 02:42:00 NOAA-17 (N)  6  74.03   0.75
2002-12-21 02:43:00 NOAA-17 (N)  6  89.94   0.75
2002-12-21 02:44:00 NOAA-17 (N)  6  83.00   0.75
2002-12-21 02:45:00 NOAA-17 (N)  6  81.37   0.75
2002-12-21 02:46:00 NOAA-17 (N)  6  82.70   0.75
2002-12-21 02:47:00 NOAA-17 (N)  6  86.06   0.75
2002-12-21 02:48:00 NOAA-17 (N)  6  85.25   0.75
2002-12-21 02:49:00 NOAA-17 (N)  6  83.41   0.75
2002-12-21 02:50:00 NOAA-17 (N)  6  82.80   0.75
2002-12-21 02:51:00 NOAA-17 (N)  6  81.58   0.75
2002-12-21 02:52:00 NOAA-17 (N)  6  79.23   0.75
2002-12-21 02:53:00 NOAA-17 (N)  6  73.62   0.75
2002-12-21 02:54:00 NOAA-17 (N)  6  70.77   0.75
2002-12-21 02:55:00 NOAA-17 (N)  6  69.85   0.75
2002-12-21 02:56:00 NOAA-17 (N)  6  67.60   0.75
2002-12-21 02:57:00 NOAA-17 (N)  6  63.42   0.75
2002-12-21 02:58:00 NOAA-17 (N)  6  63.73   0.75
2002-12-21 02:59:00 NOAA-17 (N)  6  63.42   0.75
2002-12-21 03:00:00 NOAA-17 (N)  6  65.77   0.75
2002-12-21 03:01:00 NOAA-17 (N)  6  67.19   0.75
2002-12-21 03:02:00 NOAA-17 (N)  6  62.30   0.75
2002-12-21 03:03:00 NOAA-17 (N)  6  63.11   0.75
2002-12-21 03:04:00 NOAA-17 (N)  6  64.95   0.75
2002-12-21 03:05:00 NOAA-17 (N)  6  67.09   0.75
2002-12-21 03:06:00 NOAA-17 (N)  6  69.03   0.75
2002-12-21 03:07:00 NOAA-17 (N)  6  70.05   0.75
2002-12-21 03:08:00 NOAA-17 (N)  6  70.36   0.75
2002-12-21 03:09:00 NOAA-17 (N)  6  75.15   0.75
2002-12-21 03:10:00 NOAA-17 (N)  6  71.89   0.75
2002-12-21 03:11:00 NOAA-17 (N)  6  64.54   0.75
